artist,song,lyrics
Neil Diamond,Shilo [Just For You],"15 ContributorsShilo [Just For You] Lyrics[Verse 1]
Young child with dreams
Dream every dream on your own
When children play
Seems like you end up alone

[Pre-Chorus]
Papa says he'd love to be with you
If he had the time
So you turn to the only friend you can find
There in your mind

[Chorus]
Shilo, when I was young
I used to call your name
When no one else would come
Shilo, you always came and we'd play

[Verse 2]
Counting the years
Keeping my dreams to myself
'Til a young girl with fire
Made me trust somebody else
[Verse 2 version 2]
Young girl with fire
Something said she understood
I wanted to fly
She made me feel like I could


[Pre-Chorus]
Held my hand out and I let her take me
Blind as a child
All I saw was the way that she made me smile
She made me smile

[Chorus]
Shilo, when I was young
I used to call your name
When no one else would come
Shilo, you always came but you'd stay

[Pre-Chorus]
Had a dream, and it filled me with wonder
She had other plans
""Got to go,"" said she'd know that I'd understand
I understand

[Chorus]
Shilo, when I was young
I used to call your name
When no one else would come
Shilo, you always came
Come today

[Pre-Chorus]
Had a dream, and it filled me with wonder
She had other plans
""Got to go,"" said she'd know that I'd understand
I understand


[Outro]
Shilo, when I was young
I used to call you name
When no one else would come
Shilo, you always came
Come today"
Neil Diamond,September Morn,"6 ContributorsSeptember Morn LyricsStay for just a while
Stay and let me look at you
It's been so long, I hardly knew you
Standing in the door

Stay with me a while
I only wanna talk to you
We've traveled halfway 'round the world
To find ourselves again

September morn
We danced until the night
Became a brand new day
Two lovers playing scenes
From some romantic play
September morning
Still can make me feel that way

Look at what you've done
Why, you've become a grown-up girl
I still can hear you crying
In the corner of your room
And look how far we've come
So far from where we used to be
But not so far that we've forgotten
How it was before


September morn
Do you remember
How we danced that night away
Two lovers playing scenes
From some romantic play
September morning
Still can make me feel that way

September morn
We danced until the night
Became a brand new day
Two lovers playing scenes
From some romantic play
September morning
Still can make me feel that way

September morn
We danced until the night
Became a brand new day
Two lovers playing scenes
From some romantic play
September morning
Still can make me feel that way
September morning
Still can make me feel that way"
Neil Diamond,La Bamba,"10 ContributorsLa Bamba LyricsPara bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia y otra cosita
Y arriba y arriba
Y arriba, y arriba
Por ti sere

Por ti sere, por ti sere
Yo no soy marinero
Yo no soy marinero, soy capitan
Soy capitan, soy capitan

La Bamba, la bamba
Bye, la bamba, la bamba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia pa mi pa ti
Ay y arriba y arriba
Y arriba y arriba, por ti sere
Por ti sere, por ti sere

Yo no soy marinero
Yo no soy marinero, soy capitan
Soy capitan, soy capitan


Bye, la Bamba, bye, la bamba
Bye, la Bamba, bye, la bamba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia pa mi pa ti
Ay y arriba y arriba
Y arriba y arriba, ti sere
Por ti sere, por ti sere

Yo no soy marinero
Yo no soy marinero, soy capitan
Soy capitan, soy capitan

Bye, la Bamba, bye, la bamba
Bye, la Bamba, bye, la bamba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia pa mi pa ti
Ay y arriba y arriba
Y arriba y arriba, ti sere
Por ti sere, por ti sere"
Neil Diamond,The Story of My Life,"4 ContributorsThe Story of My Life LyricsThe story of my life
Is very plain to read
It starts the day you came
And ends the day you leave

The story of my life
Begins and ends with you
The names are still the same
And the story's still the truth

I was alone
You found me waiting
And made me your own
I was afraid
That somehow I never could be
The man that you wanted of me

You're the story of my life
And every word is true
Each chapter sings your name
Each page begins with you

It's the story of our times
And never letting go
And if I die today
I wanted you to know


Stay with me here
Share with me, care with me
Stay and be near
And when it began
I'd lie awake every night
Just knowing somewhere deep inside
That our affair just might write

The story of my life
Is very plain to read
It starts the day you came
It ends the day you leave"
Neil Diamond,Be (Recapitulation And Farewell To Fletcher),"4 ContributorsBe (Recapitulation And Farewell To Fletcher) LyricsLost
On a painted sky
Where the clouds are hung
For the poet's eye
You may find him
If you may find him

There
On a distant shore
By the wings of dreams
Through an open door
You may know him
If you may

Be
As a page that aches for a word
Which speaks on a theme that is timeless
And the one God will make for your day

Sing
As a song in search of a voice that is silent
And the sun
God will make for your way

And we dance
To a whispered voice
Overheard by the soul
Undertook by the heart
And you may know it
If you may know it


While the sand would become the stone
Which begat the spark
Turned to living bone
Holy, holy
Sanctus, sanctus

Be
As a page that aches for a word
Which speaks on a theme that is timeless
While the one God will make for your day

Sing
As a song in search of a voice that is silent
And the one God will make for your way"
Neil Diamond,Heartlight,"7 ContributorsHeartlight Lyrics“Heartlight” is the opening song and lead single of Diamond’s 15th album of the same name. It was written by Diamond along with the hit-writing team of Carole Bayer-Sager and Burt Bacharach. Inspired by a… Read More Come back again
I want you to stay next time
'Cause sometimes the world ain't kind
When people get lost like you and me

I just made a friend
A friend is someone you need
But now that he had to go away
I still feel the words that he might say

Turn on your heartlight
Let it shine wherever you go
Let it make a happy glow
For all the world to see

Turn on your heartlight
In the middle of a young boy's dream
Don't wake me up too soon
Gonna take a ride across the moon
You and me

He's lookin' for home
'Cause everyone needs a place
And home's the most excellent place of all
And I'll be right here if you should call me


Turn on your heartlight
Let it shine wherever you go
Let it make a happy glow
For all the world to see

Turn on your heartlight
In the middle of a young boy's dream
Don't wake me up too soon
Gonna take a ride across the moon
You and me

And home's the most excellent place of all
And I'll be right here if you should call me
Turn on your heartlight
Let it shine wherever you go
Let it make a happy glow
For all the world to see

Turn on your heartlight
In the middle of a young boy's dream
Don't wake me up too soon
Gonna take a ride across the moon
You and me
Turn on your heartlight now
Turn on your heartlight now"
Neil Diamond,Deck the Halls,"7 ContributorsDeck the Halls LyricsDeck the halls with boughs of holly
Fa la la la la, la la la la
Tis the season to be jolly
Fa la la la la, la la la la

Don we now our gay apparel
Fa la la, la la la, la la la
Troll the ancient Yule tide carol
Fa la la la la, la la la la

See the blazing Yule before us
Fa la la la la, la la la la
Strike the harp and join the chorus
Fa la la la la, la la la la

Follow me in merry measure
Fa la la la la, la la la la
While I tell of Yule tide treasure
Fa la la la la, la la la la

Fast away the old year passes
Fa la la la la, la la la la
Hail the new, ye lads and lasses
Fa la la la la, la la la la

Sing we joyous, all together
Fa la la la la, la la la la
Heedless of the wind and weather
Fa la la la la, la la la la"
Neil Diamond,Dear Father,"3 ContributorsDear Father LyricsDear Father
We dream, we dream
We dream
While we may

Who are we to need
We need we need
While we wait
While we wait

[Spoken:]
Dear Father
We dream, we dream
We dream
While we may, while we may

Who are we to need
We need, we need
While we wait
While we wait"
Neil Diamond,Beautiful Noise,"8 ContributorsBeautiful Noise LyricsWhat a beautiful noise
Comin' up from the street
It's got a beautiful sound
It's got a beautiful beat

It's a beautiful noise
Goin' on ev'rywhere
Like the clickety-clack
Of a train on a track
It's got rhythm to spare

It's a beautiful noise
And it's a sound that I love
And it fits me as well
As a hand in a glove
Yes it does, yes it does

What a beautiful noise
Comin' up from the park
It's the song of the kids
And it plays until dark

It's the song of the cars
On their furious flights
But there's even romance
In the way that they dance
To the beat of the lights


It's a beautiful noise
And it's a sound that I love
And it makes me feel good
Like a hand in a glove
Yes it does, yes it does
What a beautiful noise

It's a beautiful noise
Made of joy and of strife
Like a symphony played
By the passing parade
It's the music of life

It's a beautiful noise
And it's a sound that I love
And it makes me feel good
Just like a hand in a glove
Yes it does, yes it does
What a beautiful noise

Comin' into my room
And it's beggin' for me
Just to give it a tune"
Neil Diamond,Crunchy Granola Suite,"6 ContributorsCrunchy Granola Suite LyricsMmmmmmmm
I got a song been on my mind
And the tune can be sung
And the words all rhyme
Deedle-ee deet deet deet deet
Deet deet deedle dee doo

Though it don't say much
And it won't offend
If you sing it at school
They're liable to send you home
Never knowin' what you're showin'
Think you're growin' your own tea
Good Lordy

Let me hear that get me near that
Crunchy Granola Suite
Drop your shrink and stop your drinkin'
Crunchy granola's neat
Sing it out
Alright
Da da da da
Da da da da da
Dee dee dee dum

I know a man was outta touch
And he'd hide in a house
And he didn't say much
Deedle-ee deet deet deet deet
Deet deet deedle dee doo


And like a man
With a tiger outside his gate
He not only couldn't relax
But he couldn't relate
Now he can, family man
Tried my brand
Dig

Let me hear that get me near that
Crunchy Granola Suite
Drop your shrink and stop your drinkin'
Crunchy granola's neat
Sing it out
Alright
Da da da da
Da da da da da
Dee dee dee do
Deedle-ee dum dum
I'll have a double please"
Neil Diamond,Morningside,"8 ContributorsMorningside LyricsMorningside
The old man died
And no one cried
They simply turned away
And when he died
He left a table made of nails and pride
And with his hands, he carved these words inside
""For my children""

Morning light
Morning bright
I spent the night
With dreams that make you weep
Morning time
Wash away the sadness from these eyes of mine
For I recall the words an old man signed
""For my children""

[Spoken:]
And the legs were shaped with his hands
And the top made of oaken wood
And the children
That sat around this great table
Touched it with their laughter
Ah, and that was good


Morningside
An old man died
And no one cried
He surely died alone
And truth is sad
For not a child would claim the gift he had
The words he carved became his epitaph
""For my children"""
Neil Diamond,Kentucky Woman,"7 ContributorsKentucky Woman Lyrics[Verse 1]
Kentucky woman
She shine with her own kind of light
She'd look at you once
In a day, that's all wrong
Well, it's alright

[Pre-Chorus]
And I love her
God knows, I love her

[Chorus]
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman

[Verse 2]
Well, she ain't the kind make heads turn
At the drop of her name
But something inside that she's got
Turns you on just the same

[Pre-Chorus]
And she loves me
God knows, she loves me


[Chorus]
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman

[Bridge]
I don't want much
The good Lord's earth beneath my feet
A gentle touch
From that one girl
And life is
Sweet and good

[Pre-Chorus]
Ain't no doubt
I'm talkin' about

[Chorus]
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman

[Bridge]
I don't want much
The good Lord's earth beneath my feet
A gentle touch
From that one girl
And life is
Sweet and good


[Pre-Chorus]
There ain't no doubt
I'm talkin' about

[Chorus]
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman

[Outro]
Kentucky Woman
Kentucky Woman"
Neil Diamond,If You Know What I Mean,"4 ContributorsIf You Know What I Mean LyricsWhen the night returns just like a friend
When the evening comes to set me free
When the quiet hours
That wait beyond the day
Make peaceful sounds in me

Took a drag from my last cigarette
Took a drink from a glass of old wine
I closed my eyes and I could make it real
And feel it one more time

Can you hear it, babe
Can you hear it, babe
From another time, from another place
Do you remember it, babe

And the radio played like a carnival tune
As we lay in our bed in the other room
When we gave it away
For the sake of a dream in a penny arcade
If you know what I mean
If you know what I mean, babe

And here's to the songs we used to sing
And here's to the times we used to know
It's hard to hold them in our arms again
But hard to let them go
Do you hear it, babe
Do you hear it, babe


It was another time
It was another place
Do you remember it, babe

And the radio played like a carnival tune
As we lay in our bed in the other room
When we gave it away
For the sake of a dream in a penny arcade
If you know what I mean
If you know what I mean
If you know what I mean
If you know what I mean

If you know what I mean, babe
If you know what I mean"
Neil Diamond,Done Too Soon,"8 ContributorsDone Too Soon LyricsJesus Christ, Fanny Brice
Wolfie Mozart and Humphrey Bogart
And Genghis Khan
And on to H. G. Wells

Ho Chi Minh, Gunga Din
Henry Luce and John Wilkes Booth
And Alexanders: King and Graham Bell

Ramar Krishna, Mama Whistler
Patrice Lumumba and Russ Colombo
Karl and Chico Marx
Albert Camus

E. A. Poe, Henri Rousseau
Sholom Aleichem and Caryl Chessman
Alan Freed and Buster Keaton too

And each one there
Has one thing shared
They have sweated beneath the same sun
Looked up in wonder at the same moon
And wept when it was all done
For bein' done too soon
For bein' done too soon
For bein' done"
Neil Diamond,Sweet Caroline Radio Edit,"3 ContributorsSweet Caroline Radio Edit Lyrics[Verse 1]
Where it began
I can't begin to know when
But then I know it's growing strong
Was in the spring
And spring became the summer
Who'd have believed you'd come along

[Pre-Chorus]
Hands, touchin' hands
Reachin' out, touchin' me, touchin' you

[Chorus]
Sweet Caroline
Good times never seemed so good
I've been inclined
To believe they never would

[Verse 2]
But now I look at the night
And it don't seem so lonely
We fill it up with only two
And when I hurt
Hurtin' runs off my shoulders
How can I hurt when holdin' you


[Pre-Chorus]
Warm, touchin' warm
Reachin' out, touchin' me, touchin' you

[Chorus]
Sweet Caroline
Good times nevеr seemed so good
I've been inclined
To bеlieve they never would
Oh no no

[Outro]
Sweet Caroline
Good times never seemed so good
Sweet Caroline
I believe they never could
Sweet Caroline
Good times never seemed so good"
Neil Diamond,Longfellow Serenade,"7 ContributorsLongfellow Serenade LyricsNeil Diamond second no. 1 hit from 1974 on the Billboard Easy Listening chart (his first was Song Sung Blue).It peaked at #5 on Billboard’s Hot 100.

A lyrical song influenced by legendary 19th century… Read More {Intro}

Longfellow Serenade
Such were the plans I'd made
For she was a lady
And I was a dreamer
With only words to trade

You know that I was born
For a night like this
Warmed by a stolen kiss
For I was lonely
And she was lonely

Ride, come on baby, ride
Let me make your dreams come true
I'll sing my song
Let me sing my song
Let me make it warm for you

I'll weave his web of rhyme
Upon the summer night
We'll leave this worldly time
On his winged flight
Then come, and as we lay
Beside this sleepy glade
There I will sing to you
My Longfellow serenade


Longfellow serenade
Such were the plans I made
But she was a lady
As deep as the river
And through the night we stayed
And in my way I loved her as none before
Loved her with words and more
For she was lonely and I was lonely

Ride, come on baby, ride
Let me make your dreams come true
I'll sing my song
Let me sing my song
Let me make it warm for you

I'll weave his web of rhyme
Upon the summer night
We'll leave this worldly time
On his winged flight
Then come, and as we lay
Beside this sleepy glade
There I will sing to you
My Longfellow serenade

Weave your web of rhyme
Upon the summer night
We'll leave this worldly time
On your winged flight"
Neil Diamond,We Wish You a Merry Christmas,"2 ContributorsWe Wish You a Merry Christmas LyricsOnce in a year, it is not thought amiss
To visit our neighbors and sing out like this

We wish you a merry Christmas
We wish you a merry Christmas
We wish you a merry Christmas
And a happy New Year
We wish you a merry Christmas
We wish you a merry Christmas
We wish you a merry Christmas
And a happy New Year
Good tidings we bring to you and your kin
We wish you a merry Christmas
And a happy New Year

We all want some figgy pudding
We all want some figgy pudding
We all want some figgy pudding
And a cup of good cheer
And we won't go until we get some
We won't go until we get some
We won't go until we get some
So bring it right here
Good tidings we bring to you and your kin
We wish you a merry Christmas
And a happy New Year
A happy New Year


Once in a year, it is not thought amiss
To visit our neighbors and sing out like this
Of friendship and love, good neighbors abound
And peace and goodwill the whole year around

(Pace!) (Shanti!) (Salud!) (Shalom!)
The words mean the same, whatever your home
Why can't we have Christmas the whole year around?
Why can't we have Christmas the whole year around?

We wish you a merry Christmas
We wish you a merry Christmas
We wish you a merry Christmas
And a happy New Year
We wish you a merry Christmas
We wish you a merry Christmas
We wish you a merry Christmas
And a happy New Year"
Neil Diamond,Desiree,"7 ContributorsDesiree Lyrics“Desiree” is, as described by Time, a “deflowering anthem” about a young man’s one memorable night – June 3rd, to be precise – with an older woman.

The song peaked at #16 on the Billboard Hot 100 and topped… Read More It was the third of June
On that summer's day
When I became a man
At the hands of a girl almost twice my age

And she came to me
Just like a morning sun
And it wasn't so much her words as such
As the way they were sung
It was the way they were sung

Desiree
Oh, Desiree
There I was found
By the sweet passion sound
Of your loving song
Time was right, the night was long

Remember, Desiree
Oh, Desiree
Somehow I knew
I could only have you 'til the morning light
If only for that single night
Sweet Desiree, you made it right

Then came the fourth of June
On that sleepless night
Well I tossed and I turned
While the thought of her burned
Up and down my mind


For she was there and gone
Without one regret
But she continues on
Like the words of a song
I could not forget, I could not forget

Desiree
Oh, Desiree
There I was found
By the sweet passion sound
Of your loving song
Time was right, the night was long

Remember Desiree
Oh, Desiree
And though somehow I knew
I could only have you 'til the morning light
The night was long, the time was right

Do you remember, Desiree
Oh, Desiree

Do you remember
Desiree"
Neil Diamond,Porcupine Pie,"4 ContributorsPorcupine Pie LyricsPorcupine pie, porcupine pie, porcupine pie
Vanilla soup, a double scoop please
No, maybe I want, maybe I won't, maybe I will
The tutti fruit
With fruity blue cheese

Ah, but porcupine pie
Porcupine pie, porcupine pie
Don't let it get on your jeans
And though it sounds a little strange
But you got to eat it with gloves
Or your hands will turn green

[Instrumental]

Ah, but porcupine pie
Porcupine pie, porcupine pie
It weaves its way through my dreams
And I do believe
I'm gonna get one
And leave enough room for dessert
Chicken ripple ice cream"
Neil Diamond,Dry Your Eyes,"3 ContributorsDry Your Eyes LyricsDry your eyes and take your song out
It's a newborn afternoon
And if you can't recall the singer
You can still recall the tune

Dry your eyes and play it slowly
Like you're marching off to war
Sing it like you know he'd want it
Like we sang it once before

And from the center of the circle
To the midst of the waiting crowd
If it ever be forgotten
Sing it long and sing it loud
And come dry your eyes

And it taught us more about giving
Than we ever cared to know
But we came to find the secret
And we never let it go

And it was more than being holy
Oh it was less than being free
And if you can't recall the reason
Can you hear the people sing


Right through the lightning and the thunder
To the dark side of the moon
To that distant falling angel
That descended much too soon
And come dry your eyes

Come dry your eyes"
Neil Diamond,Skybird,"5 ContributorsSkybird LyricsSkybird
Make your sail
And every heart
Will know of the tale

[Spoken:]
And head for the farthest shore

Songbird
Make your tune
For none may sing it just as you do

[Spoken:]
And make your song be heard

Look at the way I glide
Caught on the winds lazy tide
Sweetly how it sings
Rally each heart
At the sight of your silver wings

Skybird
Skybird
Night bird
Find your way
For none may know it just as you may


[Spoken:]
Seek out your harbor of light
Let your song be heard
Rally each heart
To the sight of your silver wings
Skybird"
Neil Diamond,Glory Road,"6 ContributorsGlory Road LyricsWearin' my high boots
Got all my worldlies here in a sack
Looking for something
Knowing that it ain't here where I'm at
Ain't looking back
I'm comin'
Ride by thumbin'
Get by bummin'
I'm on my way

Friend, have you seen glory road
Say, friend, I got a heavy load
And I know glory road's waiting for me

Caught me a pick-up
Down from Seattle through to L.A
Seems like those folks
Go chasin' a new star every day
Ain't gonna stay
In Nevada, through Wyomin'
Colorado I'm on my way

Friend, have you seen glory road
Say, friend, I got a heavy load
And I know glory road's waiting for me


Met so many others
Wanted to know which way to go
Louisiana, New York City
They wanted the answer
They'd ask of me
Friend, have you seen glory road?
Say, friend, I got a heavy load
And I know glory road's waiting for me
Rest my load
Now I know glory road won't set me free"
Neil Diamond,Anthem,"3 ContributorsAnthem Lyrics[Spoken:]
""Transcend, Purify, Glorious""

Sanctus
Kyrie
Sanctus
Kyrie
Kyrie Gloria
Gloria Holy
Holy Holy
Gloria

Sanctus
Kyrie
Sanctus
Kyrie
Kyrie Gloria
Gloria Holy
Holy Holy
Gloria

[Spoken:]
""Transcend, Purify, Glorious"""
Neil Diamond,Brooklyn Roads,"5 ContributorsBrooklyn Roads Lyrics[Verse 1]
If I close my eyes, I can almost hear my mother
Callin', ""Neil, go find your brother
Daddy's home and it's time for supper, hurry on""
And I see two boys racin' up two flights of staircase
Squirmin' into Papa's embrace
And his whiskers warm on their face, where's it gone?
Oh, where's it gone?

[Chorus 1]
Two floors above the butcher
First door on the right
And life filled to the brim as I stood by my window
And looked out on those Brooklyn roads

[Verse 2]
I can still recall the smells of cookin' in the hallways
Rubbers drying in the doorways
And report cards I was always afraid to show
Mama'd come to school and as I sit there softly crying
Teacher'd say, ""He's just not trying
Got a good head if he'd apply it, but you know yourself
It's always somewhere else""

[Chorus 2]
I built me a castle with dragons and kings
And I'd ride off with them
As I stood by my window
And looked out on those Brooklyn roads


[Bridge]
Thought of going back
But all I'd see are strangers' faces
And all the scars that love erases
But as my mind walks through those places
I'm wonderin' what's come of them?

[Chorus 3]
Does some other young boy come home to my room?
Does he dream what I did
As he stands by my window
And looks out on those Brooklyn roads?

[Refrain]
Brooklyn roads"
Neil Diamond,Stones,"6 ContributorsStones LyricsStones would play inside her head
And where she slept
They made her bed
And she would ache for love
And get but stones

La la la la la la la la la

Lordy, child
A good day's comin'
And I'll be there to let the sun in
And bein' lost
Is worth the comin' home

La la la la la la la la la on stones

You and me, a time for planting
You and me, a harvest granting
The every prayer ever prayed
For just two wild flowers that grow

La la la la la la la la la on stones
Mmmmmmmm....."
Neil Diamond,You Got to Me,"6 ContributorsYou Got to Me LyricsMama she always told me it would happen
But she never said
That it would happen like this
Papa said
""Some little girl'll catch you nappin'
Some little girl will get to you with her kiss""

You got to me
You brought me to may knees
Never thought I'd say please, girl
You got to my soul
You got control you got to me
You got to be mine

Used to slip
Though every girl's hand like water
There never was one
Who could ever tie me down
Straight ahead and steady as Gibraltar
'Til you brought me tumblin' to the ground

You got to me
You brought me to may knees
Never thought I'd say please, girl
You got to my soul
You got control, you got to me
You got to be mine


You got to me
You brought me to may knees
Never thought I'd say please, girl
You got to my soul
You got control, you got to me
You got to be mine

You got to me girl
All right come on now
Say you got to me"
Neil Diamond,Pretty Amazing Grace,"5 ContributorsPretty Amazing Grace LyricsPretty amazing grace is what You showed me
Pretty amazing grace is who You are
I was an empty vessel
You filled me up inside
And with amazing grace restored my pride

Pretty amazing grace is how You saved me
And with amazing grace reclaimed my heart
Love in the midst of chaos
Calm in the heat of war
Showed with amazing grace what love was for

You forgave my insensitivity
And my attempt to then mislead You
You stood beside a wretch like me
Your pretty amazing grace was all I needed

Stumbled inside the doorway of Your chapel
Humbled in God by everything I found
Beauty and love surround me
Freed me from what I fear
Ask for amazing grace and You appear

You overcame my loss of hope and faith
Gave me a truth I could belive in
You led me to a higher place
Showed Your amazing grace
When grace was what I needed


Look in a mirror I see Your reflection
Open a book You live on every page
I fall and You're there to lift me
Share every road I climb
And with amazing grace You ease my mind

Came to You with empty pockets first
When I returned I was rich man
Didn't believe love could quench my thirst
But with amazing grace You showed me that it can

In Your amazing grace I had a vision
From that amazing place I came to be
Into the night I wandered
Wandering aimlessly
Found Your amazing grace to comfort me

Pretty amazing
Pretty amazing
Pretty amazing
Pretty amazing
Pretty amazing
Pretty amazing
Pretty amazing
Pretty amazing


You overcame my loss of hope and faith
Gave me a truth I could believe in
You led me to that higher place
Showed me that love and truth and hope and grace were all I needed"
Neil Diamond,Make You Feel My Love,"4 ContributorsMake You Feel My Love LyricsWhen the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I would never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry, I'd go black and blue
I'd go crawling down the avenue
There's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rollin' sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
Nothing that I wouldn't do
Go to the ends of the earth for you
To make you feel my love"
Neil Diamond,Lonely Looking Sky,"4 ContributorsLonely Looking Sky LyricsLonely looking sky, lonely sky
Lonely looking sky
And bein' lonely
Makes you wonder why
Makes you wonder why
Lonely looking sky
Lonely looking sky
Lonely looking sky

Lonely looking night, lonely night
Lonely looking night
And bein' lonely
Never made it right
Never made it right
Lonely looking night
Lonely looking night
Lonely looking night

Sleep, we sleep
For we may dream
While we may
Dream we dream
For we may wake
One more day, one more day

Glory looking day
Glory day, Glory looking day
And all it's glory
Told a simple way
Behold it if you may
Glory looking day
Glory looking day
On lonely looking sky"
Neil Diamond,Hell Yeah,"6 ContributorsHell Yeah LyricsIf you're thinking that my life
Is a hoot and a holler
From the start of the day
To the dark of the night
And that its ringin' like a bell
That you only want to follow
Gotta trust me when I say
I'm just trying to get it right

Still I think about myself
As a lucky old dreamer
If you're askin' me to tell
Is it worth what I paid
You gonna hear me say

Hell yeah it is
And I say it loud
I loved it all
And I'm not too proud
I freed my soul...just let it fly
Hell yeah this crazy life around me
It confuses and confounds me
But it's all the life I've got until I die
Hell yeah it is

If you're asking for my time
Isn't much left to give you
Been around a good long while
So I gotta say it fast
Time is all we'll ever need
But it's gotta have a meaning
You be careful how it's spent
Cause it isn't going to last


I hear you wondering out loud
Are you ever gonna make it?
Will you ever work it out?
Will you ever take a chance
And just believe you can?

Hell yeah you will
You're gonna be okay
And you might get lost
But then you'll find a way
Don't go alone
Can't be afraid
Hell yeah
This life is here and it's made for livin'
And love's a gift that's made for givin'
You give it all away and have it still
And Hell yeah you will

I've been living in a bowl
With a lot of people staring
With my feet on shaky ground
And my head up in the sky
But it's where I want to be
It's a life that's made for caring
Got a song to pass the day
And a girl to share the night


So if they ask you when I'm gone
Was it everything he wanted?
When he had to travel on
Did he know he'd be missed?
You can tell them this

Hell yeah he did!
He saw it all
He walked the line
Never had to crawl
He cried a bit
But not for long
Hell yeah
He found the life that he was after
Filled it up with love and laughter
Finally got it right
And made it fit
Hell yeah he did!
Hell yeah he did!
Hell yeah he did!"
Neil Diamond,Thank the Lord For the Night Time,"6 ContributorsThank the Lord For the Night Time LyricsDaytime turns me off
And I don't mean maybe
Nine to five
Ain't takin' me where I'm bound
When it's done
I run out to see my baby
We got groovin'
When the sun goes down

I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you

I'll talk about plans now
Baby, I got plenty
Nothing ever seems to turn out
The way it should
Talk about money, girl
I ain't got any
Seems like just one time
I'm feeling good


I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you

Seems like just one time
I'm feeling good
I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you
Thank the Lord for the night time
Thank the Lord for you"
Neil Diamond,Rudolph the Red-Nosed Reindeer,"6 ContributorsRudolph the Red-Nosed Reindeer LyricsHello boys and girls
I got a story to tell you
About an unlikely hero
Dig it

Rudolph the red nose reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glowed
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games

Then one foggy Christmas Eve
Santa came to say
""Rudolph with your nose so bright
Won't you guide my sleigh tonight?""
Then how the reindeer loved him
As they shouted out with glee
""Rudolph the Red Nose Reindeer
You'll go down in history!""
Yes you will
Yes you will

And just remember all you kids out there
If the other kids laugh at you
Just cause you're a little different
Hey, you could be just like Rudolph
A hero some day
An inspiration
You'll remember that now, won't you
C'mon and sing it with me


Rudolph the red nose reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glowed
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games

Then one foggy Christmas Eve
Santa came to say
""Rudolph with your nose so bright
Why don't you guide my sleigh tonight?""
Then how the reindeer loved him
As they shouted out with glee
""Rudolph the Red Nose Reindeer
You'll go down in history!""
Yes you will
Yeah you will, Rudolph
You're a part of history now

And you can do it to boys and girls
Just be yourself
That's usually enough
Don't worry what people say
You know you're kinda terrific inside


Hey and by the way
Have a Happy Christmas
Come on now
Be a hero
Just like Rudolph
An inspiration
Just like Rudolph
Hey we love you Rudy"
Neil Diamond,Lady Magdalene,"6 ContributorsLady Magdalene LyricsThe man on the right is a man undone
He'd give you his soul
If you asked him for some
A child in his way for he needs to believe
That love is a song for each man to sing

The man on the left is a prize un-won
A candle unlit and a song unsung
Believing that love is a dreamer's dream
The man on the left
The me in between

Lady Magdelene
I can hear your distant trumpet
Calling from the morning mountain
Singing to the passing river
Take me home
Show me peaceful days
Before my youth has gone

The man in between waits between the two
Not hearing the lie and not seeing the true
Unknowing what is and denying what seems
And there he will sleep
The man in between


Lady Magdelene
I can hear your distant trumpet
Calling from the morning mountain
Singing to the passing river
Take me home
Show me peaceful days
Before my youth has gone

Lady Magdelene
Make the sound of silent thunder
Calling from the lips of Abraham
Make a sound that we may wonder
Where we are
Take us to your soul
For we have wandered far

The man on the right was a man undone
The man on the left like a prize unwon
And God only knows
What their time will bring
Or what will become
Of the man in between"
